Price,Close,High,Low,Open,Volume
Ticker,XLC,XLC,XLC,XLC,XLC
Date,,,,,
2018-06-19,46.324310302734375,46.41703522553457,45.97196620737606,46.08323257764215,16600
2018-06-20,46.89918899536133,47.18570066276878,46.778648377678074,46.778648377678074,190000
2018-06-21,46.61175537109375,47.14954581087873,46.546849689345464,47.07536940477828,428700
2018-06-22,46.81574630737305,46.92701268419056,46.53757505968776,46.90846769853858,181500
2018-06-25,45.8514289855957,46.574665751743254,45.44808349988567,46.574665751743254,2509600
2018-06-26,45.927459716796875,46.15740974756419,45.75870141561801,46.101778330051644,104000
2018-06-27,45.52688980102539,46.36139635016591,45.52688980102539,46.194495040337806,144900
2018-06-28,45.98124694824219,46.1666932971484,45.40636645001835,45.526903570276716,336500
2018-06-29,45.92560577392578,46.213047752726915,45.82361011896104,46.17595778054075,152300
2018-07-02,46.21304702758789,46.21304702758789,45.37854035196575,45.53617096273632,321300
2018-07-03,45.64744186401367,46.36140797122186,45.60942516991618,46.36140797122186,97500
2018-07-05,46.34285354614258,46.36139853000586,45.7401574875089,45.98123520354357,324900
2018-07-06,47.07536697387695,47.118020792720834,46.29649529602293,46.49121233121289,199800
2018-07-09,47.344261169433594,47.47407251860728,46.964097845241824,47.47407251860728,118100
2018-07-10,47.32478332519531,47.48333707949703,47.16807947080658,47.48333707949703,1153200
2018-07-11,47.26081085205078,47.50188856838484,46.96409818405778,47.01045887522656,227500
2018-07-12,48.00260925292969,48.00260925292969,47.418454436737704,47.56681082244254,361400
2018-07-13,47.92840576171875,48.030401390022796,47.70494634246031,48.0118564087772,80100
2018-07-16,47.78934097290039,48.011873754055124,47.70589029569367,48.011873754055124,200700
2018-07-17,47.798606872558594,47.919147513486195,47.02900940454641,47.11246007332792,172600
2018-07-18,47.65951156616211,47.844954301278506,47.50188099680104,47.83568357936006,147800
2018-07-19,47.32571792602539,47.72442624863169,47.29419180619616,47.687336279762704,258400
2018-07-20,47.168094635009766,47.46110048254072,47.14027892259537,47.334995983685445,158400
2018-07-23,47.36280822753906,47.381349675009666,46.9640999021325,47.22372261185058,94800
2018-07-24,47.69660186767578,48.31784639950904,47.43697918773613,48.31784639950904,211200
2018-07-25,48.03969192504883,48.099960481695895,47.64098353591972,47.780065636742506,604300
2018-07-26,46.22786331176758,46.37993001292431,45.96267684019558,46.129578109287074,833400
2018-07-27,45.3507194519043,46.203771015705875,45.098514040627975,46.14813606466644,1111200
2018-07-30,44.636756896972656,45.45271855556342,44.38547818517725,45.45271855556342,251300
2018-07-31,44.93346405029297,45.22090597818142,44.63675139954726,44.85001339620237,1211400
2018-08-01,44.748016357421875,45.229248565504555,44.61727830037681,45.02618755373842,1250400
2018-08-02,45.044734954833984,45.11891135063291,44.4142196736207,44.590391708600286,190700
2018-08-03,45.3507194519043,45.369264435584114,44.59039280650178,44.59039280650178,117200
2018-08-06,45.80507278442383,45.8143435097559,45.267278750700136,45.35072942706779,110200
2018-08-07,45.8607063293457,46.1750373427556,45.82361635211438,46.06469766702308,128800
2018-08-08,45.82359313964844,45.99049441554874,45.766108302282866,45.94413373604157,114200
2018-08-09,46.07395935058594,46.25476853273549,45.8606973290017,45.8606973290017,306400
2018-08-10,45.68452453613281,45.925602262722634,45.573258165175524,45.925602262722634,177600
2018-08-13,45.61961364746094,45.999776947144206,45.59179440507862,45.740154265534294,261000
2018-08-14,45.94414138793945,46.018321317179925,45.536162388397976,45.842145753780656,189800
2018-08-15,45.30436325073242,45.7123423208355,44.961289861393595,45.65671090137718,555100
2018-08-16,45.28581237792969,45.652067835824774,45.2116324455031,45.61034073956135,177600
2018-08-17,45.07255172729492,45.257998026819706,44.87783470448619,45.11891241790263,226900
2018-08-20,45.146732330322266,45.29508867634287,44.85094635698638,45.29508867634287,145800
2018-08-21,45.424903869628906,45.647436621560594,45.25800253713298,45.387813898608854,384900
2018-08-22,45.369266510009766,45.46198789555438,45.20236518635416,45.29508657189877,501900
2018-08-23,45.183815002441406,45.591794003822585,45.1745442797914,45.32290060184762,283700
2018-08-24,45.84214401245117,45.84214401245117,45.32289867586641,45.39707506519556,330900
2018-08-27,46.287227630615234,46.379025849223176,46.04707658632802,46.12960054264682,299200
2018-08-28,46.08323669433594,46.41703937204751,46.019257729871406,46.41703937204751,150200
2018-08-29,46.34285354614258,46.379943513869144,46.0554116019027,46.20377147280896,270900
2018-08-30,46.0554084777832,46.393848220415904,45.87923644867346,46.18522335602033,344400
2018-08-31,45.60107421875,46.00905327341041,45.47311629948836,46.00905327341041,235000
2018-09-04,45.035457611083984,45.48052656668514,44.87783057012038,45.48052656668514,343700
2018-09-05,44.45130920410156,44.98910314381171,44.28440788054283,44.98910314381171,773600
2018-09-06,44.11751937866211,44.48840853577346,43.737352421698546,44.423502844851605,599600
2018-09-07,44.21024703979492,44.46059911324686,43.792993584041696,43.83935429310419,755700
2018-09-10,44.302955627441406,44.488401947080085,44.09803760340992,44.488401947080085,310900
2018-09-11,44.748016357421875,44.84074126855862,44.19168103897618,44.247315985658226,615700
2018-09-12,44.61820602416992,44.738746642816615,44.36785406410083,44.627480284039386,713300
2018-09-13,44.93346405029297,44.989098998717964,44.70165707082952,44.79438198487118,754500
2018-09-14,44.85002136230469,45.10037336904311,44.73875498278576,45.10037336904311,1190800
2018-09-17,44.41421890258789,44.89637430964533,44.37712893678537,44.89637430964533,810800
2018-09-18,44.72948455810547,44.88711163538934,44.41422686644328,44.46058756346239,430100
2018-09-19,44.85002136230469,44.89638205901304,44.49767723764566,44.77584495499021,2385200
2018-09-20,45.34145736694336,45.38781806642842,44.989109684086515,45.220916718606475,4554200
2018-09-21,45.13875961303711,45.59433259597989,45.0178927323923,45.57573741844473,7974600
2018-09-24,45.13875961303711,45.20384096107644,44.63670045959016,44.822648688274306,6769400
2018-09-25,45.1573600769043,45.2317407957523,44.85984429484806,45.12946908067024,3994500
2018-09-26,45.334007263183594,45.78958028236428,45.185249377737044,45.23173909860664,5688600
2018-09-27,45.72450256347656,46.04990935542159,45.454877766340374,45.612935027190844,3649400
2018-09-28,45.5571403503418,45.668707864255374,45.36933367569813,45.622221695680324,2306600
2018-10-01,45.37119674682617,45.76168840526523,45.157357512284555,45.71519868529158,7636900
2018-10-02,45.334007263183594,45.522746734178135,45.1666577453905,45.343306626024614,5823500
2018-10-03,45.538551330566406,45.73379539297975,45.41768443859576,45.58503750542656,5146200
2018-10-04,44.88774108886719,45.49207209422613,44.50654872220537,45.49207209422613,5292200
2018-10-05,44.460060119628906,45.120173088721046,44.14394913424183,44.95282000547682,2648400
2018-10-08,44.311302185058594,44.469359450970536,43.70697121304468,44.255516641795296,2170000
2018-10-09,44.283416748046875,44.738986328570874,44.227631197777804,44.31130774984711,1991400
2018-10-10,42.535499572753906,44.19973089904118,42.49830921373045,44.19043153595139,4050700
2018-10-11,42.17290496826172,43.018966180114646,41.77311745145196,42.45182558433019,8840700
2018-10-12,43.111942291259766,43.23280920252752,42.386747916989954,43.17702365578816,5877600
2018-10-15,42.94459533691406,43.40016850040832,42.767946400322224,42.96319052181882,1576900
2018-10-16,44.078861236572266,44.16718744703747,43.33507183616626,43.409449002873046,3707300
2018-10-17,44.25550079345703,44.38566701445757,43.79993143328921,44.38566701445757,4571000
2018-10-18,43.4466438293457,44.15324649242732,43.118445813818,44.15324649242732,21297200
2018-10-19,43.437347412109375,44.078865162090835,43.269994338780656,43.6976728387683,3544400
2018-10-22,43.40945053100586,43.80923801279789,43.24209746668976,43.68837466931118,2711700
2018-10-23,43.31647872924805,43.50242697490863,42.431368768438155,42.79582435073196,2779600
2018-10-24,41.25246047973633,43.307183478446966,41.20597430438114,43.307183478446966,3552300
2018-10-25,42.61917495727539,42.90739491192868,41.99624887377771,41.99624887377771,3391700
2018-10-26,41.46630859375,42.3960464864051,40.945657643731046,41.30825485439956,5229100
2018-10-29,40.82477569580078,42.396030879161295,40.04379601160567,42.11711032337746,3491000
2018-10-30,41.94047164916992,41.996253645870745,40.59700084638019,40.75970424787117,6283600
2018-10-31,42.80512619018555,43.27929087471858,42.5726917563292,42.758640012747875,3577200
2018-11-01,43.056156158447266,43.14912851408722,42.526205928629885,42.94458507567769,2550000
2018-11-02,42.61917495727539,43.46337764165683,42.34025436546098,43.18631550374309,2628600
2018-11-05,42.44252395629883,42.702849356097666,42.135708837963705,42.702849356097666,2439500
2018-11-06,42.69356155395508,42.93529538779531,42.36815471609539,42.489021633015504,2040300
2018-11-07,43.47453308105469,43.50242762365382,42.92598769884287,43.130531126786614,2705800
2018-11-08,43.06545639038086,43.50243430935692,42.814426748416,43.50243430935692,1295700
2018-11-09,42.18220520019531,42.68426448966688,41.84749900721427,42.52621075779718,2234500
2018-11-12,41.54997253417969,42.18219439301862,41.37332366499462,42.13570822182966,1203700
2018-11-13,41.41982650756836,42.107834176756064,41.336149947081594,41.7359375642218,2186100
2018-11-14,41.624359130859375,41.977660465851784,41.289652976305305,41.86608938322175,2137500
2018-11-15,41.93117141723633,42.0055521401885,41.034907113672006,41.429115723981496,3864100
2018-11-16,41.72663497924805,41.88468870861306,41.3268474269304,41.68944461469097,2092100
2018-11-19,40.462188720703125,41.61506158488898,40.34132181590894,41.587170586347305,2358000
2018-11-20,39.93223571777344,40.36921003372182,39.402285501976934,39.73699164809429,5028200
2018-11-21,40.40639877319336,40.778295264335334,40.276236065294,40.34131741924368,3187400
2018-11-23,39.8764533996582,40.285540298705975,39.8764533996582,40.15537402840191,667100
2018-11-26,40.78759765625,40.79689702069505,40.23905219404825,40.34132392293358,2563700
2018-11-27,40.91776657104492,41.047932866275445,40.47149277026123,40.64814525473964,2114400
2018-11-28,41.773128509521484,41.773128509521484,40.657442203238084,41.131610568076304,2707400
2018-11-29,41.91257858276367,42.121768153406194,41.4058696755017,41.549977888759074,2247700
2018-11-30,41.847496032714844,41.98695811876686,41.5034940462329,41.98695811876686,5563500
2018-12-03,41.91257858276367,42.74934041200172,41.74522550758247,42.74934041200172,5790400
2018-12-04,40.67601776123047,42.07991989942733,40.58304542501457,41.838189697265626,3268000
2018-12-06,41.131591796875,41.131591796875,39.95082465336909,40.071687984278626,3560400
2018-12-07,40.35062026977539,41.32684421006535,40.173967825214014,40.9921380484418,2625800
2018-12-10,40.657432556152344,40.852676638090976,39.89226018169697,40.46218847421371,3379500
2018-12-11,40.69462966918945,41.243175190396336,40.471491005194814,41.15019926928659,4425900
2018-12-12,41.131591796875,41.68013710690266,41.07580626568549,41.07580626568549,3352600
2018-12-13,40.94565200805664,41.410520890400605,40.68532302220971,41.26176298991726,1984100
2018-12-14,40.545860290527344,41.03862011989594,40.462183758496096,40.52726511155731,1910800
2018-12-17,39.755584716796875,40.75970319140328,39.45806891987677,40.39710603557366,3275000
2018-12-18,39.93223571777344,40.36921003372182,39.699801288155044,39.96942607771268,3597400
2018-12-19,39.07686996459961,40.50866671142866,38.85373492803798,39.87644486339161,5714100
2018-12-20,38.38887023925781,39.24422721539958,37.9026149851529,38.84443972321702,9067000
2018-12-21,37.13336944580078,38.812345440932816,36.84421106534305,38.48587561301947,7987400
2018-12-24,36.34984588623047,37.459834732284634,36.34984588623047,36.87219190403695,3888500
2018-12-26,38.392608642578125,38.411264370237014,36.41608002019773,36.629683298300066,4104000
2018-12-27,38.569820404052734,38.569820404052734,37.077398249981044,37.86092077042245,3768600
2018-12-28,38.44856643676758,39.02687962010935,38.20604559463966,38.71906552622745,2631900
2018-12-31,38.5045280456543,38.87763537188884,38.01948994483545,38.7470488751713,5303600
2019-01-02,39.01755905151367,39.20877401346786,37.795635702182146,37.870255046925095,4625800
2019-01-03,38.3646240234375,39.06419774749178,38.299330760516376,38.76571324321923,3433700
2019-01-04,40.01560974121094,40.11821087620229,38.86830595191519,38.99889600758773,2647900
2019-01-07,40.472660064697266,40.640557996603185,39.931658384945386,40.06224487460222,4048400
2019-01-08,41.15357971191406,41.20954687778749,40.56594048221121,40.86442491710587,2144800
2019-01-09,41.20954895019531,41.31215364701563,40.84577124926169,41.28416828356398,1840800
2019-01-10,41.29350280761719,41.34946998292403,40.724515645752746,41.03232977261675,1340500
2019-01-11,41.08828353881836,41.15357678191446,40.72450588207872,41.03231993514449,1227900
2019-01-14,40.939048767089844,41.09948514706979,40.6219085752197,40.817788340082444,2344900
2019-01-15,41.61996841430664,41.7132470382782,41.069636986629334,41.14425988580658,2459700
2019-01-16,41.442745208740234,41.769211503739534,41.38677803321932,41.66660679439239,20343800
2019-01-17,41.61064910888672,41.72257991766908,41.21888594082408,41.3494760356558,3311000
2019-01-18,41.94642639160156,42.23091988733627,41.75054311579683,41.91844103322107,3375800
2019-01-22,41.078956604003906,41.713236859370035,40.8177800788318,41.65726969864427,4343200
2019-01-23,40.89241409301758,41.38677836027049,40.5193067030279,41.31215901720202,2540500
2019-01-24,41.078956604003906,41.12559412550131,40.65921179409767,40.87374723955757,2878700
2019-01-25,41.60132598876953,41.731916104077214,41.36813469161675,41.442757614649715,3341100
2019-01-28,41.23752975463867,41.29349692196839,40.87468431492344,41.20954795008142,4328200
2019-01-29,40.752498626708984,41.21888109303614,40.62191210545191,41.20955500932456,1138100
2019-01-30,41.34013366699219,41.41848556484258,40.584592934301064,40.99501170385854,2578000
2019-01-31,43.028446197509766,43.205670249052204,42.356854325196124,42.44080330923533,4798700
2019-02-01,42.87919616699219,43.24297384568869,42.82322900172538,42.935159774043896,4395100
2019-02-04,43.28029251098633,43.28029251098633,42.77659861418357,42.91651121337388,3703100
2019-02-05,43.756004333496094,43.79331578604036,43.21500250446807,43.242984314768286,2388600
2019-02-06,42.7765998840332,43.40155067370981,42.68332125692161,43.40155067370981,3748900
2019-02-07,42.36617660522461,42.52381622316202,41.90912383398878,42.39416196953578,2341500
2019-02-08,42.65533447265625,42.65533447265625,42.030383755872755,42.067691644150074,2600400
2019-02-11,42.21693801879883,42.92584133893288,42.18895621028839,42.832562713538536,2061100
2019-02-12,42.70197296142578,42.851215192535534,42.59936826037242,42.618023984038075,2442900
2019-02-13,42.72996520996094,43.06575761539348,42.69265375661864,42.87920746511408,3620700
2019-02-14,42.888519287109375,43.08253451011186,42.32886190594866,42.506085913066094,2103300
2019-02-15,43.0750846862793,43.18701548140794,42.85121953780619,43.18701548140794,2283500
2019-02-19,43.12171936035156,43.28029123796192,42.88852814367766,42.95382139968911,4218800
2019-02-20,42.97247314453125,43.26163150738691,42.739281949452085,43.168352894426086,3566300
2019-02-21,42.57138442993164,42.89598617820683,42.41281612363589,42.86986887795975,2631200
2019-02-22,42.97247314453125,42.991128867123415,42.646006894706524,42.74861158985579,4005400
2019-02-25,43.01911163330078,43.2849494593034,42.98180374549795,43.22432102818538,2410800
2019-02-26,43.01911163330078,43.218723955461115,42.76726471000114,42.88852513045253,4704600
2019-02-27,42.80458068847656,42.98180829672133,42.49677012177181,42.82323641346105,4009800
2019-02-28,42.83256149291992,42.97247764791631,42.729960345233614,42.76726823611244,2374200
2019-03-01,43.168357849121094,43.187013573854486,42.916510902543756,43.11239423313658,7114200
2019-03-04,43.22431182861328,43.49481441735005,42.669315751414494,43.38288010311889,2906600
2019-03-05,43.49483108520508,43.61608796810105,43.01911896295926,43.23365447679359,2805900
2019-03-06,43.47616195678711,43.66084754014565,43.345575471944734,43.56943700075599,6131600
2019-03-07,43.09373474121094,43.42020099996697,42.879199262854776,43.42020099996697,3377700
2019-03-08,43.065757751464844,43.093743120668,42.49677409816924,42.62736062706384,2566500
2019-03-11,43.83995056152344,43.849276644964156,43.17768833254454,43.17768833254454,3594000
2019-03-12,44.035823822021484,44.166410320163926,43.90523732387904,43.92389304621585,8112500
2019-03-13,44.166412353515625,44.33431030406143,44.02649976687103,44.19439771741684,3486900
2019-03-14,43.97053909301758,44.119781342415145,43.83995256957169,44.02650627087262,3539800
2019-03-15,43.93595886230469,44.066775692684494,43.69020857473779,44.02939843700704,6868900
2019-03-18,43.562198638916016,43.79580116807182,43.46408600440959,43.749081375139,2807200
2019-03-19,43.6369514465332,43.98268217805683,43.464084298525606,43.73039102873151,3570800
